Place of Origin,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,country_code
New Zealand,"1,103","1,164","1,204","1,311","1,337","1,472","1,608","1,741","1,785","1,841",554
Niue,36,8,8,7,2,8,2,4,4,2,570
Norfolk Island,5,0,0,0,0,0,2,1,3,1,574
Palau,32,31,21,20,6,10,12,15,31,26,585
Papua New Guinea,52,50,60,78,79,87,87,77,83,86,598
Samoa,43,49,51,53,51,21,60,56,93,103,882
Solomon Islands,8,7,13,10,11,7,5,8,9,15,090
Tonga,102,103,104,105,116,95,130,133,169,186,776
Tuvalu,2,2,3,2,1,7,4,3,4,4,798
Vanuatu,5,8,8,7,7,8,9,11,14,15,548
Wallis and Futuna,2,1,7,2,1,18,4,2,0,2,
"Pacific Islands, Unspecified",16,0,0,0,0,0,0,0,0,0,
Stateless,0,10,8,13,12,6,10,2,6,1,
WORLD TOTAL,"690,923","723,277","764,495","819,644","886,052","974,926","1,043,839","1,078,822","1,094,792","1,095,299",
